,sentence,sent_length,end_of_par,final_punct,final_word
667,"Harry picked it up and stared at it, his heart twanging like a giant elastic band.",82,0,.,band.
668,"No one, ever, in his whole life, had written to him.",52,0,.,him.
669,Who would?,10,0,?,would?
670,"He had no friends, no other relatives - he didn't belong to the library, so he'd never even got rude notes asking for books back.",129,0,.,back.
671,"Yet here it was, a letter, addressed so plainly there could be no mistake:
",75,1,:,"mistake:
"
672,"Mr. H. Potter
",14,1,r,"Potter
"
673,"The Cupboard under the Stairs 4Privet Drive Little Whinging Surrey
",67,1,y,"Surrey
"
674,"The envelope was thick and heavy, made of yellowish parchment, and the address was written in emerald- green ink.",113,0,.,ink.
675,"There was no stamp.
",20,1,.,"stamp.
"
676,"Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger, and a snake surrounding a large letter H.
",169,1,.,"H.
"
677,"""Hurry up, boy!""",16,0,"""","boy!"""
678,shouted Uncle Vernon from the kitchen.,38,0,.,kitchen.
679,"""What are you doing, checking for letter bombs?""",48,0,"""","bombs?"""
680,"He chuckled at his own joke.
",29,1,.,"joke.
"
681,"Harry went back to the kitchen, still staring at his letter.",60,0,.,letter.
682,"He handed Uncle Vernon the bill and the postcard, sat down, and slowly began to open the yellow envelope.
",106,1,.,"envelope.
"
683,"Uncle Vernon ripped open the bill, snorted in disgust, and flipped over the postcard.
",86,1,.,"postcard.
"
684,"""Marge's ill,"" he informed Aunt Petunia.",40,0,.,Petunia.
685,"""Ate a funny whelk ...""
",24,1,"""","...""
"
686,"""Dad!""",6,0,"""","""Dad!"""
687,said Dudley suddenly.,21,0,.,suddenly.
688,"""Dad, Harry's got something!""
",30,1,"""","something!""
"
689,"Harry was on the point of unfolding his letter, which was written on the same heavy parchment as the envelope, when it was jerked sharply out of his hand by Uncle Vernon.
",171,1,.,"Vernon.
"
690,"""That's mine,"" said Harry, trying to snatch it back.
",53,1,.,"back.
"
691,"""Who'd be writing to you?""",26,0,"""","you?"""
692,"sneered Uncle Vernon, shaking the letter open with one hand and glancing at it.",79,0,.,it.
693,His face went from red to green faster than a set of traffic lights.,68,0,.,lights.
694,And it didn't stop there.,25,0,.,there.
695,"Within seconds it was the grayish white of old porridge.
",57,1,.,"porridge.
"
696,"""P-P-Petunia!""",14,0,"""","""P-P-Petunia!"""
697,"he gasped.
",11,1,.,"gasped.
"
698,"Dudley tried to grab the letter to read it, but Uncle Vernon held it high out of his reach.",91,0,.,reach.
699,Aunt Petunia took it curiously and read the first line.,55,0,.,line.
700,For a moment it looked as though she might faint.,49,0,.,faint.
701,"She clutched her throat and made a choking noise.
",50,1,.,"noise.
"
702,"""Vernon!",8,0,!,"""Vernon!"
703,"Oh my goodness - Vernon!""
",26,1,"""","Vernon!""
"
704,"They stared at each other, seeming to have forgotten that Harry and Dudley were still in the room.",98,0,.,room.
705,Dudley wasn't used to being ignored.,36,0,.,ignored.
706,"He gave his father a sharp tap on the head with his Smelting stick.
",68,1,.,"stick.
"
707,"""I want to read that letter,"" he said loudly.
",46,1,.,"loudly.
"
708,"""I want to read it,"" said Harry furiously, ""as it's mine.""
",59,1,"""","mine.""
"
709,"""Get out, both of you,"" croaked Uncle Vernon, stuffing the letter back inside its envelope.
",92,1,.,"envelope.
"
710,"Harry didn't move.
",19,1,.,"move.
"
711,"""I WANT MY LETTER!""",19,0,"""","LETTER!"""
712,"he shouted.
",12,1,.,"shouted.
"
713,"""Let me see it!""",16,0,"""","it!"""
714,"demanded Dudley.
",17,1,.,"Dudley.
"
715,"""OUT!""",6,0,"""","""OUT!"""
716,"roared Uncle Vernon, and he took both Harry and Dudley by the scruffs of their necks and threw them into the hall, slamming the kitchen door behind them.",153,0,.,them.
717,"Harry and Dudley promptly had a furious but silent fight over who would listen at the keyhole; Dudley won, so Harry, his glasses dangling from one ear, lay flat on his stomach to listen at the crack between door and floor.
",223,1,.,"floor.
"
718,"""Vernon,"" Aunt Petunia was saying in a quivering voice, ""look at the address - how could they possibly know where he sleeps?",124,0,?,sleeps?
719,"You don't think they're watching the house?""
",45,1,"""","house?""
"
720,"""Watching - spying - might be following us,"" muttered Uncle Vernon wildly.
",75,1,.,"wildly.
"
721,"""But what should we do, Vernon?",31,0,?,Vernon?
722,Should we write back?,21,0,?,back?
723,"Tell them we don't want - ""
",28,1,"""","""
"
724,"Harry could see Uncle Vernon's shiny black shoes pacing up and down the kitchen.
",81,1,.,"kitchen.
"
725,"""No,"" he said finally.",22,0,.,finally.
726,"""No, we'll ignore it.",21,0,.,it.
727,If they don't get an answer.,28,0,.,answer.
728,...,3,0,.,...
729,"Yes, that's best ... we won't do anything.",42,0,.,anything.
730,"...""
",5,1,"""","...""
"
731,"""But - ""
",9,1,"""","""
"
732,"""I'm not having one in the house, Petunia!",42,0,!,Petunia!
733,"Didn't we swear when we took him in we'd stamp out that dangerous nonsense?""
",77,1,"""","nonsense?""
"
734,"That evening when he got back from work, Uncle Vernon did something he'd never done before; he visited Harry in his cupboard.
",126,1,.,"cupboard.
"
735,"""Where's my letter?""",20,0,"""","letter?"""
736,"said Harry, the moment Uncle Vernon had squeezed through the door.",66,0,.,door.
737,"""Who's writing to me?""
",23,1,"""","me?""
"
738,"""No one.",8,0,.,one.
739,"It was addressed to you by mistake,"" said Uncle Vernon shortly.",63,0,.,shortly.
740,"""I have burned it.""
",20,1,"""","it.""
"
741,"""It was not a mistake,"" said Harry angrily, ""it had my cupboard on it.""
",72,1,"""","it.""
"
742,"""SILENCE!""",10,0,"""","""SILENCE!"""
743,"yelled Uncle Vernon, and a couple of spiders fell from the ceiling.",67,0,.,ceiling.
744,"He took a few deep breaths and then forced his face into a smile, which looked quite painful.
",94,1,.,"painful.
"
745,"""Er - yes, Harry - about this cupboard.",39,0,.,cupboard.
746,Your aunt and I have been thinking ... you're really getting a bit big for it .,79,0,.,.
747,.,1,0,.,.
748,.,1,0,.,.
749,"we think it might be nice if you moved into Dudley's second bedroom.""
",70,1,"""","bedroom.""
"
750,"""Why?""",6,0,"""","""Why?"""
751,"said Harry.
",12,1,.,"Harry.
"
752,"""Don't ask questions!""",22,0,"""","questions!"""
753,snapped his uncle.,18,0,.,uncle.
754,"""Take this stuff upstairs, now.""
",33,1,"""","now.""
"
755,"The Dursleys' house had four bedrooms: one for Uncle Vernon and Aunt Petunia, one for visitors (usually Uncle Vernon's sister, Marge), one where Dudley slept, and one where Dudley kept all the toys and things that wouldn't fit into his first bedroom.",250,0,.,bedroom.
756,It only took Harry one trip upstairs to move everything he owned from the cupboard to this room.,96,0,.,room.
757,He sat down on the bed and stared around him.,45,0,.,him.
758,Nearly everything in here was broken.,37,0,.,broken.
759,"The month-old video camera was lying on top of a small, working tank Dudley had once driven over the next door neighbor's dog; in the corner was Dudley's first-ever television set, which he'd put his foot through when his favorite program had been canceled; there was a large birdcage, which had once held a parrot that Dudley had swapped at school for a real air rifle, which was up on a shelf with the end all bent because Dudley had sat on it.",446,0,.,it.
760,Other shelves were full of books.,33,0,.,books.
761,"They were the only things in the room that looked as though they'd never been touched.
",87,1,.,"touched.
"
762,"From downstairs came the sound of Dudley bawling at his mother, ""I don't want him in there ...",94,0,.,...
763,I need that room ... make him get out.,38,0,.,out.
764,"...""
",5,1,"""","...""
"
765,Harry sighed and stretched out on the bed.,42,0,.,bed.
766,Yesterday he'd have given anything to be up here.,49,0,.,here.
767,"Today he'd rather be back in his cupboard with that letter than up here without it.
",84,1,.,"it.
"
768,"Next morning at breakfast, everyone was rather quiet.",53,0,.,quiet.
769,Dudley was in shock.,20,0,.,shock.
770,"He'd screamed, whacked his father with his Smelting stick, been sick on purpose, kicked his mother, and thrown his tortoise through the greenhouse roof, and he still didn't have his room back.",192,0,.,back.
771,Harry was thinking about this time yesterday and bitterly wishing he'd opened the letter in the hall.,101,0,.,hall.
772,"Uncle Vernon and Aunt Petunia kept looking at each other darkly.
",65,1,.,"darkly.
"
773,"When the mail arrived, Uncle Vernon, who seemed to be trying to be nice to Harry, made Dudley go and get it.",108,0,.,it.
774,They heard him banging things with his Smelting stick all the way down the hall.,80,0,.,hall.
775,"Then he shouted, ""There's another one!",38,0,!,one!
776,'Mr.,4,0,.,'Mr.
777,"H. Potter, The Smallest Bedroom, 4 Privet Drive - ' ""
",54,1,"""","""
"
778,"With a strangled cry, Uncle Vernon leapt from his seat and ran down the hall, Harry right behind him.",101,0,.,him.
779,"Uncle Vernon had to wrestle Dudley to the ground to get the letter from him, which was made difficult by the fact that Harry had grabbed Uncle Vernon around the neck from behind.",178,0,.,behind.
780,"After a minute of confused fighting, in which everyone got hit a lot by the Smelting stick, Uncle Vernon straightened up, gasping for breath, with Harry's letter clutched in his hand.
",184,1,.,"hand.
"
781,"""Go to your cupboard - I mean, your bedroom,"" he wheezed at Harry.",66,0,.,Harry.
782,"""Dudley - go - just go.""
",25,1,"""","go.""
"
783,Harry walked round and round his new room.,42,0,.,room.
784,Someone knew he had moved out of his cupboard and they seemed to know he hadn't received his first letter.,106,0,.,letter.
785,Surely that meant they'd try again?,35,0,?,again?
786,And this time he'd make sure they didn't fail.,46,0,.,fail.
787,"He had a plan.
",15,1,.,"plan.
"
788,The repaired alarm clock rang at six o'clock the next morning.,62,0,.,morning.
789,"Harry turned it off quickly and dressed
",40,1,d,"dressed
"
790,silently.,9,0,.,silently.
791,He mustn't wake the Dursleys.,29,0,.,Dursleys.
792,"He stole downstairs without turning on any of the lights.
",58,1,.,"lights.
"
793,He was going to wait for the postman on the corner of Privet Drive and get the letters for number four first.,109,0,.,first.
794,"His heart hammered as he crept across the dark hall toward the front door -
",76,1,-,"-
"
795,"""AAAAARRRGH ! ""
",16,1,"""","""
"
796,"Harry leapt into the air; he'd trodden on something big and squashy on the doormat - something alive\
",102,1,\,"alive\
"
797,"Lights clicked on upstairs and to his horror Harry realized that the big, squashy something had been his uncle's face.",118,0,.,face.
798,"Uncle Vernon had been lying at the foot of the front door in a sleeping bag, clearly making sure that Harry didn't do exactly what he'd been trying to do.",154,0,.,do.
799,He shouted at Harry for about half an hour and then told him to go and make a cup of tea.,89,0,.,tea.
800,"Harry shuffled miserably off into the kitchen and by the time he got back, the mail had arrived, right into Uncle Vernon's lap.",127,0,.,lap.
801,"Harry could see three letters addressed in green ink.
",54,1,.,"ink.
"
802,"""I want - "" he began, but Uncle Vernon was tearing the letters into pieces before his eyes.
",92,1,.,"eyes.
"
803,Uncle Vernon didn't go to work that day.,40,0,.,day.
804,"He stayed at home and nailed up the mail slot.
",47,1,.,"slot.
"
805,"""See,"" he explained to Aunt Petunia through a mouthful of nails, ""if they can't deliver them they'll just give up.""
",116,1,"""","up.""
"
806,"""I'm not sure that'll work, Vernon.""
",37,1,"""","Vernon.""
"
807,"""Oh, these peoples minds work in strange ways, Petunia, they're not like you and me,"" said Uncle Vernon, trying to knock in a nail with the piece of fruitcake Aunt Petunia had just brought him.
",194,1,.,"him.
"
808,"On Friday, no less than twelve letters arrived for Harry.",57,0,.,Harry.
809,"As they couldn't go through the mail slot they had been pushed under the door, slotted through the sides, and a few even forced through the small window in the downstairs bathroom.
",181,1,.,"bathroom.
"
810,Uncle Vernon stayed at home again.,34,0,.,again.
811,"After burning all the letters, he got out a hammer and nails and boarded up the cracks around the front and back doors so no one could go out.",142,0,.,out.
812,"He hummed ""Tiptoe Through the Tulips"" as he worked, and jumped at small noises.
",80,1,.,"noises.
"
813,"On Saturday, things began to get out of hand.",45,0,.,hand.
814,"Twenty-four letters to Harry found their way into the house, rolled up and hidden inside each of the two dozen eggs that their very confused milkman had handed Aunt Petunia through the living room window.",204,0,.,window.
815,"While Uncle Vernon made furious telephone calls to the post office and the dairy trying to find someone to complain to, Aunt Petunia shredded the letters in her food processor.
",177,1,.,"processor.
"
816,"""Who on earth wants to talk to you this badly?""",47,0,"""","badly?"""
817,"Dudley asked Harry in amazement.
",33,1,.,"amazement.
"
818,"On Sunday morning, Uncle Vernon sat down at the breakfast table looking tired and rather ill, but happy.
",105,1,.,"happy.
"
819,"""No post on Sundays,"" he reminded them cheerfully as he spread marmalade on his newspapers, ""no damn letters today - ""
",119,1,"""","""
"
820,Something came whizzing down the kitchen chimney as he spoke and caught him sharply on the back of the head.,108,0,.,head.
821,"Next moment, thirty or forty letters came pelting out of the fireplace like bullets.",84,0,.,bullets.
822,"The Dursleys ducked, but Harry leapt into the air trying to catch one -
",72,1,-,"-
"
823,"""Out!",5,0,!,"""Out!"
824,"OUT!""
",6,1,"""","OUT!""
"
825,Uncle Vernon seized Harry around the waist and threw him into the hall.,71,0,.,hall.
826,"When Aunt Petunia and Dudley had run out with their arms over their faces, Uncle Vernon slammed the door shut.",110,0,.,shut.
827,"They could hear the letters still streaming into the room, bouncing off the walls and floor.
",93,1,.,"floor.
"
828,"""That does it,"" said Uncle Vernon, trying to speak calmly but pulling great tufts out of his mustache at the same time.",119,0,.,time.
829,"""I want you all back here in five minutes ready to leave.",57,0,.,leave.
830,We're going away.,17,0,.,away.
831,Just pack some clothes.,23,0,.,clothes.
832,"No arguments!""
",15,1,"""","arguments!""
"
833,He looked so dangerous with half his mustache missing that no one dared argue.,78,0,.,argue.
834,"Ten minutes later they had wrenched their way through the boarded-up doors and were in the car, speeding toward the highway.",124,0,.,highway.
835,"Dudley was sniffling in the back seat; his father had hit him round the head for holding them up while he tried to pack his television, VCR, and computer in his sports bag.
",173,1,.,"bag.
"
836,They drove.,11,0,.,drove.
837,And they drove.,15,0,.,drove.
838,Even Aunt Petunia didn't dare ask where they were going.,56,0,.,going.
839,"Every now and then Uncle Vernon would take a sharp turn and drive in the opposite direction for a while.
",105,1,.,"while.
"
840,"""Shake 'em off ... shake 'em off,"" he would mutter whenever he did this.
",73,1,.,"this.
"
841,They didn't stop to eat or drink all day.,41,0,.,day.
842,By nightfall Dudley was howling.,32,0,.,howling.
843,He'd never had such a bad day in his life.,42,0,.,life.
844,"He was hungry, he'd missed five television programs he'd wanted to see, and he'd never gone so long without blowing up an alien on his computer.
",145,1,.,"computer.
"
845,Uncle Vernon stopped at last outside a gloomy- looking hotel on the outskirts of a big city.,92,0,.,city.
846,"Dudley and Harry shared a room with twin beds and damp, musty sheets.",69,0,.,sheets.
847,"Dudley snored but Harry stayed awake, sitting on the windowsill, staring down at the lights of passing cars and wondering...
",125,1,.,"wondering...
"
848,They ate stale cornflakes and cold tinned tomatoes on toast for breakfast the next day.,87,0,.,day.
849,"They had just finished when the owner of the hotel came over to their table.
",77,1,.,"table.
"
850,""" 'Scuse me, but is one of you Mr. H. Potter?",45,0,?,Potter?
851,"Only I got about an 'undred of these at the front desk.""
",57,1,"""","desk.""
"
852,"She held up a letter so they could read the green ink address:
",63,1,:,"address:
"
853,"Mr. H. Potter Room 1 7 Railview Hotel Cokeworth
",48,1,h,"Cokeworth
"
854,Harry made a grab for the letter but Uncle Vernon knocked his hand out of the way.,82,0,.,way.
855,"The woman stared.
",18,1,.,"stared.
"
856,"""I'll take them,"" said Uncle Vernon, standing up quickly and following her from the dining room.
",97,1,.,"room.
"
857,"""Wouldn't it be better just to go home, dear?""",46,0,"""","dear?"""
858,"Aunt Petunia suggested timidly, hours later, but Uncle Vernon didn't seem to hear her.",86,0,.,her.
859,"Exactly what he was looking for, none of them knew.",51,0,.,knew.
860,"He drove them into the middle of a forest, got out, looked around, shook his head, got back in the car, and off they went again.",128,0,.,again.
861,"The same thing happened in the middle of a plowed field, halfway across a suspension bridge, and at the top of a multilevel parking garage.
",140,1,.,"garage.
"
862,"""Daddy's gone mad, hasn't he?""",30,0,"""","he?"""
863,Dudley asked Aunt Petunia dully late that afternoon.,52,0,.,afternoon.
864,"Uncle Vernon had parked at the coast, locked them all inside the car, and disappeared.
",87,1,.,"disappeared.
"
865,It started to rain.,19,0,.,rain.
866,Great drops beat on the roof of the car.,40,0,.,car.
867,"Dudley sniveled.
",17,1,.,"sniveled.
"
868,"""It's Monday,"" he told his mother.",34,0,.,mother.
869,"""The Great Humberto's on tonight.",33,0,.,tonight.
870,"I want to stay somewhere with atelevision.""
",44,1,"""","atelevision.""
"
871,Monday.,7,0,.,Monday.
872,This reminded Harry of something.,33,0,.,something.
873,"If it was Monday - and you could usually count on Dudley to know the days of the week, because of television - then tomorrow, Tuesday, was Harry's eleventh birthday.",165,0,.,birthday.
874,"Of course, his birthdays were never exactly fun - last year, the Dursleys had given him a coat hanger and a pair of Uncle Vernon's old socks.",141,0,.,socks.
875,"Still, you weren't eleven every day.
",37,1,.,"day.
"
876,Uncle Vernon was back and he was smiling.,41,0,.,smiling.
877,"He was also carrying a long, thin package and didn't answer Aunt Petunia when she asked what he'd bought.
",106,1,.,"bought.
"
878,"""Found the perfect place!""",26,0,"""","place!"""
879,he said.,8,0,.,said.
880,"""Come on!
",10,1,!,"on!
"
881,"Everyone out!""
",15,1,"""","out!""
"
882,It was very cold outside the car.,33,0,.,car.
883,Uncle Vernon was pointing at what looked like a large rock way out at sea.,74,0,.,sea.
884,Perched on top of the rock was the most miserable little shack you could imagine.,81,0,.,imagine.
885,"One thing was certain, there was no television in there.
",57,1,.,"there.
"
886,"""Storm forecast for tonight!""",29,0,"""","tonight!"""
887,"said Uncle Vernon gleefully, clapping his hands together.",57,0,.,together.
888,"""And this gentleman's kindly agreed to lend us his boat!""
",58,1,"""","boat!""
"
889,"A toothless old man came ambling up to them, pointing, with a rather wicked grin, at an old rowboat bobbing in the iron-gray water below them.
",143,1,.,"them.
"
890,"""I've already got us some rations,"" said Uncle Vernon, ""so all aboard!""
",72,1,"""","aboard!""
"
891,It was freezing in the boat.,28,0,.,boat.
892,Icy sea spray and rain crept down their necks and a chilly wind whipped their faces.,84,0,.,faces.
893,"After what seemed like hours they reached the rock, where Uncle Vernon, slipping and sliding, led the way to the broken-down house.
",132,1,.,"house.
"
894,"The inside was horrible; it smelled strongly of seaweed, the wind whistled through the gaps in the wooden walls, and the fireplace was damp and empty.",150,0,.,empty.
895,"There were only two rooms.
",27,1,.,"rooms.
"
896,Uncle Vernon's rations turned out to be a bag of chips each and four bananas.,77,0,.,bananas.
897,"He tried to start a fire but the empty chip bags just smoked and shriveled up.
",79,1,.,"up.
"
898,"""Could do with some of those letters now, eh?""",46,0,"""","eh?"""
899,"he said cheerfully.
",20,1,.,"cheerfully.
"
900,He was in a very good mood.,27,0,.,mood.
901,Obviously he thought nobody stood a chance of reaching them here in a storm to deliver mail.,92,0,.,mail.
902,"Harry privately agreed, though the thought didn't cheer him up at all.
",71,1,.,"all.
"
903,"As night fell, the promised storm blew up around them.",54,0,.,them.
904,Spray from the high waves splattered the walls of the hut and a fierce wind rattled the filthy windows.,103,0,.,windows.
905,Aunt Petunia found a few moldy blankets in the second room and made up a bed for Dudley on the moth-eaten sofa.,111,0,.,sofa.
906,"She and Uncle Vernon went off to the lumpy bed next door, and Harry was left to find the softest bit of floor he could and to curl up under the thinnest, most ragged blanket.
",175,1,.,"blanket.
"
907,The storm raged more and more ferociously as the night went on.,63,0,.,on.
908,Harry couldn't sleep.,21,0,.,sleep.
909,"He shivered and turned over, trying to get comfortable, his stomach rumbling with hunger.",89,0,.,hunger.
910,Dudley's snores were drowned by the low rolls of thunder that started near midnight.,84,0,.,midnight.
911,"The lighted dial of Dudley's watch, which was dangling over the edge of the sofa on his fat wrist, told Harry he'd be eleven in ten minutes' time.",146,0,.,time.
912,"He lay and watched his birthday tick nearer, wondering if the Dursleys would remember at all, wondering where the letter writer was now.
",137,1,.,"now.
"
913,Five minutes to go.,19,0,.,go.
914,Harry heard something creak outside.,36,0,.,outside.
915,"He hoped the roof wasn't going to fall in, although he might be warmer if it did.",81,0,.,did.
916,Four minutes to go.,19,0,.,go.
917,"Maybe the house in Privet Drive would be so full of letters when they got back that he'd be able to steal one somehow.
",119,1,.,"somehow.
"
918,Three minutes to go.,20,0,.,go.
919,"Was that the sea, slapping hard on the rock like that?",54,0,?,that?
920,And (two minutes to go) what was that funny crunching noise?,60,0,?,noise?
921,"Was the rock crumbling into the sea?
",37,1,?,"sea?
"
922,One minute to go and he'd be eleven.,36,0,.,eleven.
923,"Thirty seconds ... twenty ... ten ... nine - maybe he'd wake Dudley up, just to annoy him - three ... two ... one ...
",118,1,.,"...
"
924,"BOOM.
",6,1,.,"BOOM.
"
925,"The whole shack shivered and Harry sat bolt upright, staring at the door.",73,0,.,door.
926,"Someone was outside, knocking to come in.
",42,1,.,"in.
"
927,BOOM.,5,0,.,BOOM.
928,They knocked again.,19,0,.,again.
929,"Dudley jerked awake.
",21,1,.,"awake.
"
930,"""Where's the cannon?""",21,0,"""","cannon?"""
931,"he said stupidly.
",18,1,.,"stupidly.
"
932,There was a crash behind them and Uncle Vernon came skidding into the room.,75,0,.,room.
933,"He was holding a rifle in his hands - now they knew what had been in the long, thin package he had brought with them.
",118,1,.,"them.
"
934,"""Who's there?""",14,0,"""","there?"""
935,he shouted.,11,0,.,shouted.
936,"""I warn you - I'm armed!""
",26,1,"""","armed!""
"
937,There was a pause.,18,0,.,pause.
938,"Then -
",7,1,-,"-
"
939,"SMASH!
",7,1,!,"SMASH!
"
940,"The door was hit with such force that it swung clean off its hinges and with a deafening crash landed flat on the floor.
",121,1,.,"floor.
"
941,A giant of a man was standing in the doorway.,45,0,.,doorway.
942,"His face was almost completely hidden by a long, shaggy mane of hair and a wild, tangled beard, but you could make out his eyes, glinting like black beetles under all the hair.
",177,1,.,"hair.
"
943,"The giant squeezed his way into the hut, stooping so that his head just brushed the ceiling.",92,0,.,ceiling.
944,"He bent down, picked up the door, and fitted it easily back into its frame.",75,0,.,frame.
945,The noise of the storm outside dropped a little.,48,0,.,little.
946,"He turned to look at them all.
",31,1,.,"all.
"
947,"""Couldn't make us a cup o' tea, could yeh?",42,0,?,yeh?
948,It's not been an easy journey.,30,0,.,journey.
949,"...""
",5,1,"""","...""
"
950,"He strode over to the sofa where Dudley sat frozen with fear.
",62,1,.,"fear.
"
951,"""Budge up, yeh great lump,"" said the stranger.
",47,1,.,"stranger.
"
952,"Dudley squeaked and ran to hide behind his mother, who was crouching, terrified, behind Uncle Vernon.
",102,1,.,"Vernon.
"
953,"""An' here's Harry!""",19,0,"""","Harry!"""
954,"said the giant.
",16,1,.,"giant.
"
955,"Harry looked up into the fierce, wild, shadowy face and saw that the beetle eyes were crinkled in a smile.
",107,1,.,"smile.
"
956,"""Las' time I saw you, you was only a baby,"" said the giant.",59,0,.,giant.
957,"""Yeh look a lot like yer dad, but yeh've got yer mom's eyes.""
",62,1,"""","eyes.""
"
958,"Uncle Vernon made a funny rasping noise.
",41,1,.,"noise.
"
959,"""I demand that you leave at once, sir!""",39,0,"""","sir!"""
960,he said.,8,0,.,said.
961,"""You are breaking and entering!""
",33,1,"""","entering!""
"
962,"""Ah, shut up, Dursley, yeh great prune,"" said the giant; he reached over the back of the sofa, jerked the gun out of Uncle Vernon's hands, bent it into a knot as easily as if it had been made of rubber, and threw it into a corner of the room.
",243,1,.,"room.
"
963,"Uncle Vernon made another funny noise, like a mouse being trodden on.
",70,1,.,"on.
"
964,"""Anyway - Harry,"" said the giant, turning his back on the Dursleys, ""a very happy birthday to yeh.",98,0,.,yeh.
965,"Got summat fer yeh here - I mighta sat on it at some point, but it'll taste all right.""
",88,1,"""","right.""
"
966,From an inside pocket of his black overcoat he pulled aslightly squashed box.,77,0,.,box.
967,Harry opened it with trembling fingers.,39,0,.,fingers.
968,"Inside was a large, sticky chocolate cake with Happy Birthday Harry written on it in green icing.
",98,1,.,"icing.
"
969,Harry looked up at the giant.,29,0,.,giant.
970,"He meant to say thank you, but the words got lost on the way to his mouth, and what he said instead was, ""Who are you?""
",120,1,"""","you?""
"
971,"The giant chuckled.
",20,1,.,"chuckled.
"
972,"""True, I haven't introduced meself.",35,0,.,meself.
973,"Rubeus Hagrid, Keeper of Keys and Grounds at Hogwarts.""
",56,1,"""","Hogwarts.""
"
974,"He held out an enormous hand and shook Harry's whole arm.
",58,1,.,"arm.
"
975,"""What about that tea then, eh?""",31,0,"""","eh?"""
976,"he said, rubbing his hands together.",36,0,.,together.
977,"""I'd not say no ter summat stronger if yeh've got it, mind.""
",61,1,"""","mind.""
"
978,His eyes fell on the empty grate with the shriveled chip bags in it and he snorted.,83,0,.,snorted.
979,"He bent down over the fireplace; they couldn't see what he was doing but when he drew back a second later, there was a roaring fire there.",138,0,.,there.
980,"It filled the whole damp hut with flickering light and Harry felt the warmth wash over him as though he'd sunk into a hot bath.
",128,1,.,"bath.
"
981,"The giant sat back down on the sofa, which sagged under his weight, and began taking all sorts of things out of the pockets of his coat: a copper kettle, a squashy package of sausages, a poker, a teapot, several chipped mugs, and a bottle of some amber liquid that he took a swig from before starting to make tea.",313,0,.,tea.
982,Soon the hut was full of the sound and smell of sizzling sausage.,65,0,.,sausage.
983,"Nobody said a thing while the giant was working, but as he slid the first six fat, juicy, slightly burnt sausages from the poker, Dudley fidgeted a little.",155,0,.,little.
984,"Uncle Vernon said sharply, ""Don't touch anything he gives you, Dudley.""
",72,1,"""","Dudley.""
"
985,"The giant chuckled darkly.
",27,1,.,"darkly.
"
986,"""Yer great puddin' of a son don' need fattenin' anymore, Dursley, don' worry.""
",79,1,"""","worry.""
"
987,"He passed the sausages to Harry, who was so hungry he had never tasted anything so wonderful, but he still couldn't take his eyes off the giant.",144,0,.,giant.
988,"Finally, as nobody seemed about to explain anything, he said, ""I'm sorry, but I still don't really know who you are.""
",118,1,"""","are.""
"
989,"The giant took a gulp of tea and wiped his mouth with the back of his hand.
",76,1,.,"hand.
"
990,"""Call me Hagrid,"" he said, ""everyone does.",42,0,.,does.
991,"An' like I told yeh, I'm Keeper of Keys at Hogwarts - yeh'll know all about Hogwarts, o' course.""
",98,1,"""","course.""
"
992,"""Er - no,"" said Harry.
",23,1,.,"Harry.
"
993,"Hagrid looked shocked.
",23,1,.,"shocked.
"
994,"""Sorry,"" Harry said quickly.
",29,1,.,"quickly.
"
995,"""Sorry?""",8,0,"""","""Sorry?"""
996,"barked Hagrid, turning to stare at the Dursleys, who shrank back into the shadows.",82,0,.,shadows.
997,"""It's them as should be sorry!",30,0,!,sorry!
998,"I knew yeh weren't gettin' yer letters but I never thought yeh wouldn't even know abou' Hogwarts, fer cryin' out loud!",118,0,!,loud!
999,"Did yeh never wonder where yer parents learned it all?""
",56,1,"""","all?""
"
1000,"""All what?""",11,0,"""","what?"""
1001,"asked Harry.
",13,1,.,"Harry.
"
1002,"""ALL WHAT?""",11,0,"""","WHAT?"""
1003,Hagrid thundered.,17,0,.,thundered.
1004,"""Now wait jus' one second!""
",28,1,"""","second!""
"
1005,He had leapt to his feet.,25,0,.,feet.
1006,In his anger he seemed to fill the whole hut.,45,0,.,hut.
1007,"The Dursleys were cowering against the wall.
",45,1,.,"wall.
"
1008,"""Do you mean ter tell me,"" he growled at the Dursleys, ""that this boy - this boy!",81,0,!,boy!
1009,"- knows nothin' abou' - about ANYTHING?""
",41,1,"""","ANYTHING?""
"
1010,Harry thought this was going a bit far.,39,0,.,far.
1011,"He had been to school, after all, and his marks weren't bad.
",61,1,.,"bad.
"
1012,"""I know some things,"" he said.",30,0,.,said.
1013,"""I can, you know, do math and stuff.""
",38,1,"""","stuff.""
"
1014,"But Hagrid simply waved his hand and said, ""About our world, I mean.",68,0,.,mean.
1015,Your world.,11,0,.,world.
1016,My world.,9,0,.,world.
1017,"Yer parents' world.""
",21,1,"""","world.""
"
1018,"""What world?""
",14,1,"""","world?""
"
1019,Hagrid looked as if he was about to explode.,44,0,.,explode.
1020,"""DURSLEY!""",10,0,"""","""DURSLEY!"""
1021,"he boomed.
",11,1,.,"boomed.
"
1022,"Uncle Vernon, who had gone very pale, whispered something that sounded like ""Mimblewimble.""",91,0,"""","""Mimblewimble."""
1023,"Hagrid stared wildly at Harry.
",31,1,.,"Harry.
"
